iso3_country,country_name,year,sector,sector_clean,emissions
ALA,ALA,2017,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2017,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2017,manufacturing,Manufacturing,0.0
ALA,ALA,2017,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2017,power,Power,0.0
ALA,ALA,2017,transportation,Transportation,343167.6337182926
ALA,ALA,2017,waste,Waste,2164.6933647201176
ALA,ALA,2018,agriculture,Agriculture,0.0
ALA,ALA,2018,buildings,Buildings,35635.40514272193
ALA,ALA,2018,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2018,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2018,manufacturing,Manufacturing,0.0
ALA,ALA,2018,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2018,power,Power,0.0
ALA,ALA,2018,transportation,Transportation,356084.5934456369
ALA,ALA,2018,waste,Waste,2177.121305425061
ALA,ALA,2019,agriculture,Agriculture,0.0
ALA,ALA,2019,buildings,Buildings,36849.09531126407
ALA,ALA,2019,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2019,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2019,manufacturing,Manufacturing,0.0
ALA,ALA,2019,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2019,power,Power,0.0
ALA,ALA,2019,transportation,Transportation,366265.0430800179
ALA,ALA,2019,waste,Waste,2191.344064838313
ALA,ALA,2020,agriculture,Agriculture,0.0
ALA,ALA,2020,buildings,Buildings,36119.7697659156
ALA,ALA,2020,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2020,fossil-fuel-operations,Fossil Fuel Operations,0.0
ALA,ALA,2020,manufacturing,Manufacturing,0.0
ALA,ALA,2020,mineral-extraction,Mineral Extraction,0.0
ALA,ALA,2020,power,Power,0.0
ALA,ALA,2020,transportation,Transportation,377649.8307365038
ALA,ALA,2020,waste,Waste,2213.63032410126
ALA,ALA,2021,agriculture,Agriculture,0.0
ALA,ALA,2021,buildings,Buildings,32964.593584
ALA,ALA,2021,fluorinated-gases,Fluorinated Gases,0.0
ALA,ALA,2021,fossil-fuel-operations,Fossil Fuel Operations,0.0
